League,Time,Home,Score,Away,Fouls,Yellow Card,Red Card,Possession,Shots (OT),Passes (Success),Pass Success%,Dribbles,Rating,League,Time,Home,Score,Away,Corners,Offsides,Head(Success),saves,Tackles,Off Target,Blocked,Throws,Rating
ENG PR,2014-08-16 22:00,West Bromwich(WBA),2-2,Sunderland A.F.C,18,3,0,58%,10(5),0(0),0%,0,0,ENG PR,2014-08-16 22:00,West Bromwich(WBA),2-2,Sunderland A.F.C,6,0,0(0),0,0,0,0,0,0
ENG PR,2014-05-11 22:00,West Bromwich(WBA),1-2,Stoke City,4,0,0,43%,17(4),0(0),0%,0,0,ENG PR,2014-05-11 22:00,West Bromwich(WBA),1-2,Stoke City,11,1,0(0),3,0,0,0,0,0
ENG PR,2014-05-08 02:45,Sunderland A.F.C,2-0,West Bromwich(WBA),12,1,1,52%,13(3),0(0),0%,0,0,ENG PR,2014-05-08 02:45,Sunderland A.F.C,2-0,West Bromwich(WBA),0,1,0(0),2,0,0,0,0,0
ENG PR,2014-05-04 20:30,Arsenal,1-0,West Bromwich(WBA),6,2,1,40%,11(1),0(0),0%,0,0,ENG PR,2014-05-04 20:30,Arsenal,1-0,West Bromwich(WBA),10,2,0(0),3,0,0,0,0,0
ENG PR,2014-04-26 22:00,West Bromwich(WBA),1-0,West Ham United,14,0,0,43%,19(6),0(0),0%,0,0,ENG PR,2014-04-26 22:00,West Bromwich(WBA),1-0,West Ham United,7,2,0(0),3,0,0,0,0,0
ENG PR,2014-04-22 03:00,Manchester City,3-1,West Bromwich(WBA),7,1,0,31%,10(3),0(0),0%,0,0,ENG PR,2014-04-22 03:00,Manchester City,3-1,West Bromwich(WBA),2,3,0(0),3,0,0,0,0,0
ENG PR,2014-04-12 22:05,West Bromwich(WBA),3-3,Tottenham Hotspur,11,4,0,32%,6(5),0(0),0%,0,0,ENG PR,2014-04-12 22:05,West Bromwich(WBA),3-3,Tottenham Hotspur,2,3,0(0),6,0,0,0,0,0
ENG PR,2014-04-05 22:00,Norwich City,0-1,West Bromwich(WBA),11,0,0,31%,8(5),0(0),0%,0,0,ENG PR,2014-04-05 22:00,Norwich City,0-1,West Bromwich(WBA),3,2,0(0),4,0,0,0,0,0
ENG PR,2014-03-29 23:00,West Bromwich(WBA),3-3,Cardiff City,12,1,1,42%,16(6),0(0),0%,0,0,ENG PR,2014-03-29 23:00,West Bromwich(WBA),3-3,Cardiff City,4,2,0(0),2,0,0,0,0,0
ENG PR,2014-03-22 23:00,Hull City,2-0,West Bromwich(WBA),13,0,0,57%,17(4),0(0),0%,0,0,ENG PR,2014-03-22 23:00,Hull City,2-0,West Bromwich(WBA),5,1,0(0),3,0,0,0,0,0
ENG PR,2014-03-15 23:00,Swansea City,1-2,West Bromwich(WBA),13,3,0,37%,13(4),0(0),0%,0,0,ENG PR,2014-03-15 23:00,Swansea City,1-2,West Bromwich(WBA),1,0,0(0),3,0,0,0,0,0
ENG PR,2014-03-08 20:45,West Bromwich(WBA),0-3,Manchester United,11,1,0,45%,14(3),0(0),0%,0,0,ENG PR,2014-03-08 20:45,West Bromwich(WBA),0-3,Manchester United,3,2,0(0),2,0,0,0,0,0
ENG PR,2014-02-22 23:00,West Bromwich(WBA),1-1,Fulham,13,3,0,64%,16(5),0(0),0%,0,0,ENG PR,2014-02-22 23:00,West Bromwich(WBA),1-1,Fulham,8,1,0(0),2,0,0,0,0,0
ENG PR,2014-02-12 04:00,West Bromwich(WBA),1-1,Chelsea,9,3,0,40%,12(1),0(0),0%,0,0,ENG PR,2014-02-12 04:00,West Bromwich(WBA),1-1,Chelsea,5,1,0(0),3,0,0,0,0,0
ENG PR,2014-02-08 23:00,Crystal Palace,3-1,West Bromwich(WBA),13,3,0,66%,17(7),0(0),0%,0,0,ENG PR,2014-02-08 23:00,Crystal Palace,3-1,West Bromwich(WBA),6,1,0(0),3,0,0,0,0,0
ENG PR,2014-02-02 21:30,West Bromwich(WBA),1-1,Liverpool,13,4,0,50%,12(4),0(0),0%,0,0,ENG PR,2014-02-02 21:30,West Bromwich(WBA),1-1,Liverpool,3,0,0(0),2,0,0,0,0,0
ENG PR,2014-01-30 03:45,Aston Villa,4-3,West Bromwich(WBA),10,3,0,55%,12(4),0(0),0%,0,0,ENG PR,2014-01-30 03:45,Aston Villa,4-3,West Bromwich(WBA),3,6,0(0),2,0,0,0,0,0
ENG PR,2014-01-21 04:00,West Bromwich(WBA),1-1,Everton,16,3,0,50%,14(6),0(0),0%,0,0,ENG PR,2014-01-21 04:00,West Bromwich(WBA),1-1,Everton,4,2,0(0),3,0,0,0,0,0
ENG PR,2014-01-11 23:00,Southampton,1-0,West Bromwich(WBA),17,2,0,38%,4(2),0(0),0%,0,0,ENG PR,2014-01-11 23:00,Southampton,1-0,West Bromwich(WBA),4,8,0(0),4,0,0,0,0,0
ENG PR,2014-01-01 23:00,West Bromwich(WBA),1-0,Newcastle United,7,0,0,46%,13(4),0(0),0%,0,0,ENG PR,2014-01-01 23:00,West Bromwich(WBA),1-0,Newcastle United,3,4,0(0),3,0,0,0,0,0
ENG PR,2013-12-28 20:45,West Ham United,3-3,West Bromwich(WBA),13,2,2,54%,22(7),0(0),0%,0,0,ENG PR,2013-12-28 20:45,West Ham United,3-3,West Bromwich(WBA),5,3,0(0),3,0,0,0,0,0
ENG PR,2013-12-26 23:00,Tottenham Hotspur,1-1,West Bromwich(WBA),12,2,0,36%,7(4),0(0),0%,0,0,ENG PR,2013-12-26 23:00,Tottenham Hotspur,1-1,West Bromwich(WBA),2,4,0(0),2,0,0,0,0,0
ENG PR,2013-12-21 23:00,West Bromwich(WBA),1-1,Hull City,8,2,1,60%,14(3),0(0),0%,0,0,ENG PR,2013-12-21 23:00,West Bromwich(WBA),1-1,Hull City,9,1,0(0),2,0,0,0,0,0
ENG PR,2013-12-14 23:00,Cardiff City,1-0,West Bromwich(WBA),12,1,1,52%,12(2),0(0),0%,0,0,ENG PR,2013-12-14 23:00,Cardiff City,1-0,West Bromwich(WBA),6,9,0(0),2,0,0,0,0,0
ENG PR,2013-12-07 23:00,West Bromwich(WBA),0-2,Norwich City,10,1,0,64%,27(12),0(0),0%,0,0,ENG PR,2013-12-07 23:00,West Bromwich(WBA),0-2,Norwich City,7,1,0(0),1,0,0,0,0,0
ENG PR,2013-12-05 04:15,West Bromwich(WBA),2-3,Manchester City,8,1,0,41%,12(1),0(0),0%,0,0,ENG PR,2013-12-05 04:15,West Bromwich(WBA),2-3,Manchester City,3,2,0(0),2,0,0,0,0,0
ENG PR,2013-12-01 01:30,Newcastle United,2-1,West Bromwich(WBA),15,2,1,47%,14(1),0(0),0%,0,0,ENG PR,2013-12-01 01:30,Newcastle United,2-1,West Bromwich(WBA),3,0,0(0),5,0,0,0,0,0
ENG PR,2013-11-26 04:00,West Bromwich(WBA),2-2,Aston Villa,9,1,0,51%,11(4),0(0),0%,0,0,ENG PR,2013-11-26 04:00,West Bromwich(WBA),2-2,Aston Villa,4,6,0(0),5,0,0,0,0,0
ENG PR,2013-11-09 23:00,Chelsea,2-2,West Bromwich(WBA),15,7,1,31%,11(3),0(0),0%,0,0,ENG PR,2013-11-09 23:00,Chelsea,2-2,West Bromwich(WBA),4,0,0(0),5,0,0,0,0,0
ENG PR,2013-11-02 23:00,West Bromwich(WBA),2-0,Crystal Palace,11,0,1,49%,9(4),0(0),0%,0,0,ENG PR,2013-11-02 23:00,West Bromwich(WBA),2-0,Crystal Palace,10,2,0(0),4,0,0,0,0,0
ENG PR,2013-10-26 22:00,Liverpool,4-1,West Bromwich(WBA),11,2,0,45%,16(4),0(0),0%,0,0,ENG PR,2013-10-26 22:00,Liverpool,4-1,West Bromwich(WBA),9,0,0(0),3,0,0,0,0,0
ENG PR,2013-10-19 22:00,Stoke City,0-0,West Bromwich(WBA),10,0,0,50%,11(5),0(0),0%,0,0,ENG PR,2013-10-19 22:00,Stoke City,0-0,West Bromwich(WBA),6,2,0(0),3,0,0,0,0,0
ENG PR,2013-10-06 23:00,West Bromwich(WBA),1-1,Arsenal,6,1,1,44%,12(4),0(0),0%,0,0,ENG PR,2013-10-06 23:00,West Bromwich(WBA),1-1,Arsenal,6,4,0(0),4,0,0,0,0,0
ENG PR,2013-09-28 22:00,Manchester United,1-2,West Bromwich(WBA),14,2,1,41%,12(4),0(0),0%,0,0,ENG PR,2013-09-28 22:00,Manchester United,1-2,West Bromwich(WBA),8,1,0(0),5,0,0,0,0,0
ENG PR,2013-09-21 22:00,West Bromwich(WBA),3-0,Sunderland A.F.C,9,0,0,54%,13(4),0(0),0%,0,0,ENG PR,2013-09-21 22:00,West Bromwich(WBA),3-0,Sunderland A.F.C,5,4,0(0),0,0,0,0,0,0
ENG PR,2013-09-14 22:00,Fulham,1-1,West Bromwich(WBA),12,1,0,44%,12(4),0(0),0%,0,0,ENG PR,2013-09-14 22:00,Fulham,1-1,West Bromwich(WBA),5,4,0(0),1,0,0,0,0,0
ENG PR,2013-09-01 20:30,West Bromwich(WBA),0-2,Swansea City,10,4,1,42%,10(1),0(0),0%,0,0,ENG PR,2013-09-01 20:30,West Bromwich(WBA),0-2,Swansea City,2,3,0(0),2,0,0,0,0,0
ENG PR,2013-08-24 22:00,Everton,0-0,West Bromwich(WBA),17,1,0,38%,7(2),0(0),0%,0,0,ENG PR,2013-08-24 22:00,Everton,0-0,West Bromwich(WBA),1,1,0(0),8,0,0,0,0,0
ENG PR,2013-08-17 22:00,West Bromwich(WBA),0-1,Southampton,15,4,0,47%,11(1),0(0),0%,0,0,ENG PR,2013-08-17 22:00,West Bromwich(WBA),0-1,Southampton,4,1,0(0),2,0,0,0,0,0
